iter	RMSE
0	74873.58269
1	74422.1153
2	74075.86335
3	73729.1686
4	73363.77804
5	73066.32961
6	72871.07566
7	72668.59435
8	72468.18162
9	72235.84508
10	72101.27949
11	72010.6775
12	71853.90763
13	71784.02946
14	71566.12575
15	71441.3464
16	71323.5451
17	71233.70205
18	71154.3442
19	71071.56221
20	70979.76088
21	70877.31668
22	70596.89879
23	70532.98036
24	70442.44534
25	70384.88105
26	70239.65376
27	70206.11554
28	70184.65158
29	70112.11022
30	70075.64832
31	70032.60765
32	70014.16047
33	69958.11222
34	69895.06505
35	69884.93481
36	69829.59696
37	69814.06212
38	69761.26829
39	69692.55042
40	69643.98456
41	69618.29956
42	69552.64476
43	69531.27708
44	69516.68092
45	69513.32691
46	69485.42461
47	69386.76276
48	69371.04532
49	69302.17033
50	69128.87598
51	69063.68891
52	69063.66217
53	69043.80882
54	68940.81485
55	68925.32106
56	68843.85165
57	68832.81046
58	68789.65172
59	68596.84817
60	68590.88561
61	68586.16262
62	68556.15692
63	68480.40065
64	68471.35201
65	68429.53431
66	68422.98155
67	68370.90936
68	68316.62329
69	68281.05886
70	68269.19923
71	68170.24723
72	68129.58178
73	68108.32988
74	68108.08067
75	68067.78456
76	67991.37643
77	67949.02389
78	67877.81129
79	67764.49727
80	67747.79348
81	67739.11273
82	67725.76068
83	67695.57284
84	67690.06167
85	67677.74206
86	67624.48223
87	67538.2178
88	67487.77995
89	67469.99313
90	67464.32995
91	67457.43938
92	67432.34393
93	67408.08116
94	67381.28306
95	67283.24636
96	67282.35202
97	67276.09919
98	67225.83921
99	67197.57534
100	67150.72606
101	67134.99594
102	67133.41543
103	67082.79572
104	67038.898
105	67008.24323
106	67003.6331
107	66987.31724
108	66962.37948
109	66948.83579
110	66936.14084
111	66915.2533
112	66906.0232
113	66896.59523
114	66757.3388
115	66720.4092
116	66685.56717
117	66632.24066
118	66574.87171
119	66559.91629
120	66539.54837
121	66532.10607
122	66490.82686
123	66434.59867
124	66378.2322
125	66334.82038
126	66273.72699
127	66246.16756
128	66240.13384
129	66233.32846
130	66050.11634
131	66021.52844
132	65990.03947
133	65937.87423
134	65867.74231
135	65844.76282
136	65834.53133
137	65779.99384
138	65722.42352
139	65642.8132
140	65599.49514
141	65540.36076
142	65411.9109
143	65384.17843
144	65346.47733
145	65255.92585
146	65188.83767
147	65106.10924
148	65044.94189
149	64956.20585
150	64905.02144
151	64876.2605
152	64851.88591
153	64779.40961
154	64719.13487
155	64656.93393
156	64576.76041
157	64507.47128
158	64486.98449
159	64425.20306
160	64347.53181
161	64243.48913
162	64194.58577
163	64048.0783
164	63964.46071
165	63889.79722
166	63799.50317
167	63713.40562
168	63611.0668
169	63556.16141
170	63535.83487
171	63491.12104
172	63385.79456
173	63272.57
174	63252.50587
175	63212.37107
176	63170.83496
177	63086.80181
178	63004.75733
179	63002.79811
180	62892.96438
181	62857.43844
182	62777.35043
183	62745.99487
184	62679.57519
185	62620.6844
186	62527.15586
187	62484.34932
188	62450.77319
189	62387.3142
190	62324.79866
191	62257.71596
192	62198.28993
193	62135.62324
194	62052.58929
195	61993.24295
196	61946.17983
197	61920.01121
198	61858.95028
199	61802.49458
200	61758.86382
201	61717.24236
202	61642.5833
203	61619.85091
204	61580.90094
205	61495.46519
206	61467.09841
207	61430.64718
208	61411.2988
209	61356.56871
210	61322.36593
211	61175.53884
212	61149.67884
213	61132.23177
214	61038.84089
215	61015.16804
216	60993.14251
217	60903.74489
218	60836.42939
219	60731.08789
220	60649.15681
221	60628.35016
222	60569.54515
223	60540.60056
224	60466.11194
225	60412.07025
226	60398.09837
227	60357.90621
228	60286.89907
229	60201.06339
230	60138.97735
231	60078.08827
232	60035.09678
233	59968.30519
234	59941.38488
235	59883.93318
236	59843.77453
237	59829.17775
238	59811.17694
239	59773.14634
240	59711.94832
241	59676.16278
242	59661.81311
243	59644.73077
244	59592.65162
245	59559.074
246	59509.37806
247	59422.17485
248	59375.67859
249	59329.8092
250	59298.50421
251	59254.71632
252	59225.27685
253	59183.46047
254	59103.88514
255	59087.94432
256	59077.47534
257	59059.76169
258	58984.11908
259	58979.77158
260	58961.56752
261	58840.57123
262	58792.01047
263	58717.30261
264	58700.02667
265	58626.62679
266	58540.93399
267	58529.062
268	58468.79947
269	58427.91067
270	58411.97828
271	58371.80028
272	58318.5742
273	58279.79094
274	58260.07218
275	58221.88088
276	58184.73281
277	58109.73139
278	58042.47352
279	57978.9726
280	57968.12373
281	57948.51832
282	57912.94853
283	57857.50248
284	57807.88122
285	57737.22231
286	57683.92237
287	57666.76268
288	57660.7578
289	57650.40719
290	57581.32922
291	57514.99802
292	57457.1442
293	57405.69569
294	57371.68692
295	57307.35133
296	57274.56222
297	57243.10347
298	57218.81561
299	57195.73016
300	57146.30925
301	57093.54945
302	57063.63145
303	57034.81096
304	56999.53956
305	56977.71625
306	56950.11322
307	56913.00625
308	56886.51262
309	56875.55539
310	56850.21726
311	56834.35668
312	56789.92337
313	56737.99702
314	56727.40128
315	56677.58498
316	56666.75767
317	56642.34392
318	56615.87189
319	56593.83546
320	56572.20516
321	56536.59544
322	56459.59271
323	56446.56086
324	56397.4352
325	56387.01721
326	56374.89039
327	56343.34431
328	56323.58046
329	56224.44126
330	56163.27013
331	56130.02279
332	56109.25582
333	56101.61443
334	56090.2699
335	56013.13016
336	55935.00489
337	55904.78663
338	55867.09065
339	55844.63465
340	55793.10856
341	55773.93846
342	55756.63553
343	55746.00112
344	55691.3043
345	55618.46843
346	55600.04596
347	55514.97612
348	55463.82724
349	55453.62326
350	55435.9172
351	55406.97983
352	55264.73764
353	55243.32672
354	55233.5537
355	55186.09486
356	55179.86118
357	55085.01603
358	55035.01956
359	55021.99956
360	54980.57308
361	54946.43388
362	54929.30446
363	54917.69802
364	54879.22204
365	54836.33161
366	54726.94492
367	54710.60447
368	54698.42881
369	54648.0957
370	54616.75375
371	54508.98876
372	54483.05369
373	54466.47548
374	54450.5567
375	54435.27055
376	54426.74078
377	54418.56584
378	54356.71261
379	54311.74959
380	54290.13996
381	54265.16283
382	54225.11911
383	54162.3957
384	54044.98982
385	54017.02892
386	53986.30845
387	53971.52965
388	53962.3829
389	53899.85186
390	53872.9696
391	53854.82865
392	53837.51507
393	53820.89799
394	53775.05723
395	53680.23802
396	53628.22406
397	53609.78723
398	53565.35439
399	53544.87761
400	53522.50569
401	53509.02767
402	53468.06178
403	53443.26889
404	53422.62063
405	53395.79133
406	53331.25946
407	53262.62384
408	53197.78384
409	53181.06387
